,item_id,app_name,genre_id,year,price,playtime_acc,recommend,polarity,sentiment
0,70,Half-Life,0,1998,9.99,2650946.0,1,0.0,2
1,2400,The Ship: Murder Party,0,2006,9.99,1030947.0,1,0.0,2
2,3800,Advent Rising,0,2005,9.99,13384.0,1,-0.3666666666666666,0
3,1520,DEFCON,1,2006,9.99,218144.0,1,0.0,0
4,2420,The Ship: Single Player,0,2006,9.99,191701.0,1,0.0749999999999999,2
5,4000,Garry's Mod,1,2006,9.99,441871026.0,1,0.0,2
6,2990,FlatOut 2™,2,2006,9.99,263982.0,1,0.0,0
7,6220,FlatOut,2,2005,7.49,42551.0,1,-0.040625,2
8,6310,The Longest Journey,0,2000,9.99,52000.0,1,0.0,1
9,7600,Sid Meier's Railroads!,3,2006,9.99,213960.0,1,0.2,2
10,8000,Tomb Raider: Anniversary,0,2007,8.99,99745.0,1,0.61875,2
11,6550,Devil May Cry® 3 Special Edition,0,2006,19.99,66775.0,1,0.0,0
12,2280,Ultimate Doom,0,1995,4.99,77440.0,1,-0.2666666666666666,2
13,9160,Master Levels for Doom II,0,1995,14.99,8075.0,1,0.0666666666666666,2
14,2300,DOOM II,0,1994,4.99,66166.0,1,-0.0083333333333333,2
15,2270,Wolfenstein 3D,0,1994,4.99,32482.0,1,-0.075,2
16,9010,Return to Castle Wolfenstein,0,2001,4.99,102518.0,1,0.0,1
17,2310,QUAKE,0,2007,4.99,91359.0,1,-0.4,2
18,7670,BioShock™,0,2007,19.99,2681563.0,1,0.0,2
19,4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",3,2006,12.99,735239.0,1,0.0,2
20,4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",3,2006,12.99,1866527.0,1,0.0,2
21,4760,Rome: Total War™ - Collection,3,2004,9.99,3007902.0,1,0.0,2
22,12130,Manhunt,0,2004,9.99,8101.0,1,0.1875,2
23,12150,Max Payne 2: The Fall of Max Payne,0,2003,9.99,196411.0,0,-1.0,0
24,7000,Tomb Raider: Legend,0,2006,6.99,69456.0,1,0.1499999999999999,2
25,12140,Max Payne,0,2001,9.99,281759.0,1,-0.2,2
26,17480,Command & Conquer: Red Alert 3,3,2008,19.99,1558393.0,1,0.0,2
27,12500,PuzzleQuest: Challenge of the Warlords,4,2007,9.99,128018.0,1,-0.2666666666666666,2
28,2700,RollerCoaster Tycoon® 3: Platinum,5,2006,19.99,903850.0,1,0.0,2
29,13250,Unreal Gold,0,1998,9.99,24018.0,1,0.6000000000000001,2
30,13560,Tom Clancy's Splinter Cell®,0,2003,9.99,78629.0,0,-0.0381172839506172,0
31,13520,Far Cry®,0,2004,9.99,325754.0,1,0.0,2
32,15200,Silent Hunter®: Wolves of the Pacific,5,2007,9.99,39161.0,1,1.0,2
33,15320,IL-2 Sturmovik: 1946,5,2006,9.99,192807.0,1,-0.3571428571428571,2
34,8310,Bone: Out From Boneville,6,2005,9.99,1462.0,1,-0.1826923076923076,0
35,12590,Sprint Cars Road to Knoxville,2,2008,9.99,7472.0,1,0.1857142857142857,2
36,19500,Eternity's Child,6,2008,4.99,1552.0,0,0.0,1
37,11260,Pacific Storm Allies,5,2007,7.99,16490.0,0,-0.1061147186147186,0
38,12360,FlatOut: Ultimate Carnage,2,2008,19.99,160627.0,1,-0.3,2
39,15710,Oddworld: Abe's Exoddus®,6,1998,2.99,151985.0,1,0.0979323308270676,2
